Banco/Billetera,Se requiere,Día de la promoción,Descuento,Rubro,Establecimiento,Tope de reintegro,Condiciones
Brubank,n/a,"Lunes, Martes, Miércoles, Viernes, Sábado, Jueves, Domingo",20%,Combustible,Axion,$2.000,"LA PROMOCIÓN SERÁ VÁLIDA PARA RESIDENTES EN EL ÁMBITO DE LA REPÚBLICA ARGENTINA, EXCEPTO RESIDENTES DE LAS PROVINCIAS DE TIERRA DEL FUEGO, RÍO NEGRO, MENDOZA, NEUQUÉN Y SALTA, TODOS LOS DÍAS DENTRO DEL PERÍODO DE LAS 00:00 DEL DÍA 1 DE MARZO HASTA LAS 23:59 HORAS DEL DIA 31 DE MARZO DE 2025, INCLUSIVE, EXCLUSIVAMENTE PARA CLIENTES BRUPLUS. DESCUENTO DEL 20% (VEINTE POR CIENTO), CON UN TOPE DE REINTEGRO DE $2.000 (DOS MIL) HASTA 5 CONSUMOS MENSUALES.  
ENCONTRÁ MÁS INFORMACIÓN EN: https://help.brubank.com/es/articles/9010641-todos-los-dias-20-off-en-axion-energy-compra-con-tu-tarjeta-de-debito-visa-brubank-y-gira-la-ruedita​"
Banco Nación,MODO,"Lunes, Martes, Miércoles, Jueves, Viernes, Sábado, Domingo",10%,Combustible,Axion,$15.000,TARJETAS DE CRÉDITO VISA Y MASTERCARD DEL BANCO NACIÓN PAGANDO EXCLUSIVAMENTE CON MODO BNA+.
Banco Entre Rios,MODO,Viernes,10%,Combustible,Axion,$4.000,"Beneficio exclusivo para tarjetas de crédito Black, Platinum y Signature"
Banco del Sol,n/a,Miércoles,20%,Combustible,Axion,$5.000 ,"Cartera de Consumo. La presente acción promocional es organizada por Banco del Sol S.A., CUIT N° 30-67793756-0, con domicilio en Av. Leandro N. Alem 1058, PB, Ciudad Autónoma de Buenos Aires (en adelante ""El Banco"" o “BDS""). Promoción exclusiva para clientes de BDS que se hayan registrado a través de la aplicación del Banco y que realicen compras con la tarjeta de débito VISA emitida por el Banco, los miércoles desde las 00:00hs del 01/03/2025, hasta las 23:59hs del 31/03/2025 ambas inclusive (en adelante el “Plazo""), en estaciones de servicio de Axion Energy. El beneficio consistirá en un 20% (VEINTE POR CIENTO) de descuento, con un tope de reintegro de $5.000 (CINCO MIL PESOS) por mes, sobre las compras efectuadas. El beneficio será reintegrado dentro de los 10 (diez) días corridos posteriores a la compra. Por ejemplo, si un cliente realiza una compra de $10.000 (diez mil pesos), recibirá un reintegro de $2.000 (dos mil pesos). No acumulable con otros beneficios y/o promociones vigentes. No aplica sobre productos incluidos en programas gubernamentales. Quedan excluidos de participar, aquellos clientes cuyas cuentas se encuentren en mora y/o bloqueadas por cualquier motivo. La promoción no aplica a pagos a través de billeteras virtuales, plataformas de pago y/o portales de pago online, con excepción de la aplicación de Axion Energy. En caso de consultas o reclamos, deberán comunicarse a través de los canales de contacto disponibles por El Banco. Los presentes términos y condiciones se encuentran disponibles en https://www.bancodelsol.com"
Banco San Juan,MODO,Viernes,10%,Combustible,Axion,$4.000,"Vigencia desde el 01/03/2025 al 31/03/2025. Hasta 10% de reintegro todos los viernes abonando en 1 pago con tarjetas de crédito emitidas por el Banco San Juan S.A. tope de reintegro semanal: $ 4.000 por cuenta por mes. Beneficio exclusivo para tarjetas de crédito Black, Platinum Y Signature. Bonificación aplicable sobre precio de contado. Válida en los comercios de la República Argentina registrados ante Prisma Medios de Pago s.a. (Visa) y Fiserv (Mastercard) bajo el rubro combustibles. No válido para compras realizadas en comercios que procesen sus ventas con múltiples tarjetas de crédito a través de plataforma única de pago en la cual no se individualice ni identifiquen comercio ni rubro ni online como ser mercado pago, QR y/o similares. Consulte rubros y procesamiento de pagos en el comercio antes de realizar el consumo. Ejemplo: en una compra con tarjeta de crédito realizada por $ 80.000 precio de contado Ud. recibirá en el resumen de su tarjeta de crédito un consumo de $ 80.000 y un reintegro de $ 4.000 en el resumen en el cual ingrese el consumo o en el posterior. La efectivización del total del descuento será efectuada vía reintegro en el resumen en el cual ingrese el consumo o en el posterior dependiendo de la fecha de compra y del cierre de la facturación de la tarjeta. El tope de reintegro se calcula por periodos mensuales, considerando la suma de las compras efectuadas por el titular con tarjeta de crédito y sus adicionales. No acumulable con otras promociones vigentes. Válido para cartera de consumo. Banco de San Juan S.A. - CUIT 30-50000944-2 –Av. Ignacio de la Roza 85 oeste, Capital, San Juan."
Banco Comafi,MODO,Domingo,10%,Combustible,Axion,$4.000,Por semana.
Banco Ciudad,MODO,Domingo,10%,Combustible,Axion,$10.000,"Por cliente por mes se adicionará un 5% (cinco por ciento) de descuento en el total de la compra con tope de reintegro de $5.000 mensual por cliente para todos los comercios adheridos de las estaciones Axion, Ypf y Shell"
Mercado Pago,n/a,Jueves,15%,Supermercados,Carrefour,Sin tope de reintegro,"BENEFICIO VÁLIDO EXCLUSIVAMENTE DURANTE LOS JUEVES DE MARZO 2025 EN LA REPÚBLICA ARGENTINA PARA PAGOS REALIZADOS A TRAVÉS DEL SERVICIO DE PROCESAMIENTO DE PAGOS DE MERCADO PAGO OPERADO POR MERCADOLIBRE S.R.L. “MERCADO PAGO” A TRAVÉS DEL ESCANEO DEL CÓDIGO QR CON LA APP DE MERCADO PAGO LA “APP”, ELIGIENDO COMO MEDIO DE PAGO DINERO EN CUENTA. EL BENEFICIO CONSISTE EN UN 15% DE DESCUENTO, SIN TOPE DE REINTEGRO, EN TODA TU COMPRA EN TODAS LAS SUCURSALES DE HIPERMERCADOS CARREFOUR, CARREFOUR MARKET Y CARREFOUR EXPRESS ""EL “BENEFICIO”. NO VALIDO PARA WWW.CARREFOUR.COM.AR NI CARREFOUR MAXI. EL BENEFICIO ESTARÁ A CARGO DE INC S.A. Y SE REALIZARÁ EN LÍNEA DE CAJAS SOBRE EL PRECIO DE CONTADO. MERCADO PAGO NO ES UNA ENTIDAD FINANCIERA. LOS FONDOS EN CUENTAS DE PAGO NO SON DEPÓSITOS GARANTIZADOS. MERCADOLIBRE S.R.L. CUIT 30703088534, CASEROS 3039, PISO 2º, CABA”. PROMOCIÓN NO VÁLIDA PARA COMPRAS EN CUOTAS CON TARJETAS DE CRÉDITO EMITIDAS EN EL EXTERIOR, TARJETAS DE COMPRA Y/U ORDEN DE COMPRA Y/O SIMILARES EMITIDAS POR CARREFOUR ARGENTINA, COMPRAS ABONADAS EN EUROS, DÓLARES NI TICKETS O CON LA APLICACIÓN DE MERCADO PAGO NI TARJETAS DE PROGRAMAS DE AYUDA SOCIAL.SOLO PARA CONSUMO FAMILIAR. PARA MÁS INFORMACIÓN COMUNÍQUESE GRATUITAMENTE AL TELÉFONO 0 800 444 8484."
BBVA,MODO,Sábado,25%,Supermercados,Carrefour,$20.000,"PROMOCIÓN VÁLIDA EXCLUSIVAMENTE PARA LOS DÍAS SÁBADOS DEL MES DE MARZO DE 2025. EXCLUSIVO EN TIENDAS HIPERMERCADOS CARREFOUR, CARREFOUR MARKET, CARREFOUR EXPRESS Y CARREFOUR MAXI DE ARGENTINA. NO VÁLIDO PARA COMPRAS EN WWW.CARREFOUR.COM.AR. (1) 25% DE AHORRO PARA COMPRAS REALIZADAS EN 1 PAGO CON TARJETAS DE CRÉDITO VISA EMITIDAS POR EL BANCO BBVA A TRAVÉS DE MODO, VÁLIDO PARA CLIENTES CON CUENTA SUELDO. TOPE DE DESCUENTO MENSUAL $20.000 POR CLIENTE. (2) 10% DE AHORRO PARA COMPRAS REALIZADAS EN 1 PAGO CON TARJETAS DE CRÉDITO VISA EMITIDAS POR EL BANCO BBVA A TRAVÉS DE MODO, VÁLIDO PARA CLIENTES DE CARTERA GENERAL.TOPE DE DESCUENTO MENSUAL $ 8.000 POR CLIENTE. EL IMPORTE BONIFICADO POR LAS COMPRAS EFECTUADAS SE ACREDITARÁ EN CUENTA EN EL ACTO. NO INCLUYE MOTOS, CUATRICICLOS, BICICLETAS MOTORIZADAS,TRACTORES, ELECTRODOMÉSTICOS, ELECTRÓNICA, TELEFONÍA CELULAR, BODEGAS ALAMOS, ALTALAND, ANGÉLICA ZAPATA, ARUMA, CARO, CASA DE HERRERO, CHANDON, CUCHILLO DE PALO, D. V. CATENA, EL ENEMIGO, LA POSTA, LUCA, LUIGI BOSCA DE SANGRE , NICASIA, OJO DE BUEN CUBERO, RUTINI, SAINT FELICIEN, SAN FELIPE Y VALMONT, LECHES INFANTILES Y MATERNIZADAS ETAPA 1 Y 2 NI CARNICERÍA: CARNE VACUNA, POLLO, CORTES DE CERDOS Y EMBUTIDOS. NO INCLUYE PRODUCTOS CARREFOUR DE ALIMENTOS, LÁCTEOS, QUESOS, FIAMBRES, BEBIDAS, PERFUMERÍA Y LIMPIEZA. NO ACUMULABLE CON OTRAS PROMOCIONES VIGENTES. SOLO PARA CONSUMO FAMILIAR. Tope de devolución $20.000 mensual."
BBVA,MODO,Sábado,25%,Supermercados,Carrefour Express,$20.000,"PROMOCIÓN VÁLIDA EXCLUSIVAMENTE PARA LOS DÍAS SÁBADOS DEL MES DE MARZO DE 2025. EXCLUSIVO EN TIENDAS HIPERMERCADOS CARREFOUR, CARREFOUR MARKET, CARREFOUR EXPRESS Y CARREFOUR MAXI DE ARGENTINA. NO VÁLIDO PARA COMPRAS EN WWW.CARREFOUR.COM.AR. (1) 25% DE AHORRO PARA COMPRAS REALIZADAS EN 1 PAGO CON TARJETAS DE CRÉDITO VISA EMITIDAS POR EL BANCO BBVA A TRAVÉS DE MODO, VÁLIDO PARA CLIENTES CON CUENTA SUELDO. TOPE DE DESCUENTO MENSUAL $20.000 POR CLIENTE. (2) 10% DE AHORRO PARA COMPRAS REALIZADAS EN 1 PAGO CON TARJETAS DE CRÉDITO VISA EMITIDAS POR EL BANCO BBVA A TRAVÉS DE MODO, VÁLIDO PARA CLIENTES DE CARTERA GENERAL.TOPE DE DESCUENTO MENSUAL $ 8.000 POR CLIENTE. EL IMPORTE BONIFICADO POR LAS COMPRAS EFECTUADAS SE ACREDITARÁ EN CUENTA EN EL ACTO. NO INCLUYE MOTOS, CUATRICICLOS, BICICLETAS MOTORIZADAS,TRACTORES, ELECTRODOMÉSTICOS, ELECTRÓNICA, TELEFONÍA CELULAR, BODEGAS ALAMOS, ALTALAND, ANGÉLICA ZAPATA, ARUMA, CARO, CASA DE HERRERO, CHANDON, CUCHILLO DE PALO, D. V. CATENA, EL ENEMIGO, LA POSTA, LUCA, LUIGI BOSCA DE SANGRE , NICASIA, OJO DE BUEN CUBERO, RUTINI, SAINT FELICIEN, SAN FELIPE Y VALMONT, LECHES INFANTILES Y MATERNIZADAS ETAPA 1 Y 2 NI CARNICERÍA: CARNE VACUNA, POLLO, CORTES DE CERDOS Y EMBUTIDOS. NO INCLUYE PRODUCTOS CARREFOUR DE ALIMENTOS, LÁCTEOS, QUESOS, FIAMBRES, BEBIDAS, PERFUMERÍA Y LIMPIEZA. NO ACUMULABLE CON OTRAS PROMOCIONES VIGENTES. SOLO PARA CONSUMO FAMILIAR. Tope de devolución $20.000 mensual."
BBVA,MODO,Sábado,25%,Supermercados,Carrefour Market,$20.000,"PROMOCIÓN VÁLIDA EXCLUSIVAMENTE PARA LOS DÍAS SÁBADOS DEL MES DE MARZO DE 2025. EXCLUSIVO EN TIENDAS HIPERMERCADOS CARREFOUR, CARREFOUR MARKET, CARREFOUR EXPRESS Y CARREFOUR MAXI DE ARGENTINA. NO VÁLIDO PARA COMPRAS EN WWW.CARREFOUR.COM.AR. (1) 25% DE AHORRO PARA COMPRAS REALIZADAS EN 1 PAGO CON TARJETAS DE CRÉDITO VISA EMITIDAS POR EL BANCO BBVA A TRAVÉS DE MODO, VÁLIDO PARA CLIENTES CON CUENTA SUELDO. TOPE DE DESCUENTO MENSUAL $20.000 POR CLIENTE. (2) 10% DE AHORRO PARA COMPRAS REALIZADAS EN 1 PAGO CON TARJETAS DE CRÉDITO VISA EMITIDAS POR EL BANCO BBVA A TRAVÉS DE MODO, VÁLIDO PARA CLIENTES DE CARTERA GENERAL.TOPE DE DESCUENTO MENSUAL $ 8.000 POR CLIENTE. EL IMPORTE BONIFICADO POR LAS COMPRAS EFECTUADAS SE ACREDITARÁ EN CUENTA EN EL ACTO. NO INCLUYE MOTOS, CUATRICICLOS, BICICLETAS MOTORIZADAS,TRACTORES, ELECTRODOMÉSTICOS, ELECTRÓNICA, TELEFONÍA CELULAR, BODEGAS ALAMOS, ALTALAND, ANGÉLICA ZAPATA, ARUMA, CARO, CASA DE HERRERO, CHANDON, CUCHILLO DE PALO, D. V. CATENA, EL ENEMIGO, LA POSTA, LUCA, LUIGI BOSCA DE SANGRE , NICASIA, OJO DE BUEN CUBERO, RUTINI, SAINT FELICIEN, SAN FELIPE Y VALMONT, LECHES INFANTILES Y MATERNIZADAS ETAPA 1 Y 2 NI CARNICERÍA: CARNE VACUNA, POLLO, CORTES DE CERDOS Y EMBUTIDOS. NO INCLUYE PRODUCTOS CARREFOUR DE ALIMENTOS, LÁCTEOS, QUESOS, FIAMBRES, BEBIDAS, PERFUMERÍA Y LIMPIEZA. NO ACUMULABLE CON OTRAS PROMOCIONES VIGENTES. SOLO PARA CONSUMO FAMILIAR. Tope de devolución $20.000 mensual."
BBVA,MODO,Sábado,25%,Supermercados,Carrefour Maxi,$20.000,"PROMOCIÓN VÁLIDA EXCLUSIVAMENTE PARA LOS DÍAS SÁBADOS DEL MES DE MARZO DE 2025. EXCLUSIVO EN TIENDAS HIPERMERCADOS CARREFOUR, CARREFOUR MARKET, CARREFOUR EXPRESS Y CARREFOUR MAXI DE ARGENTINA. NO VÁLIDO PARA COMPRAS EN WWW.CARREFOUR.COM.AR. (1) 25% DE AHORRO PARA COMPRAS REALIZADAS EN 1 PAGO CON TARJETAS DE CRÉDITO VISA EMITIDAS POR EL BANCO BBVA A TRAVÉS DE MODO, VÁLIDO PARA CLIENTES CON CUENTA SUELDO. TOPE DE DESCUENTO MENSUAL $20.000 POR CLIENTE. (2) 10% DE AHORRO PARA COMPRAS REALIZADAS EN 1 PAGO CON TARJETAS DE CRÉDITO VISA EMITIDAS POR EL BANCO BBVA A TRAVÉS DE MODO, VÁLIDO PARA CLIENTES DE CARTERA GENERAL.TOPE DE DESCUENTO MENSUAL $ 8.000 POR CLIENTE. EL IMPORTE BONIFICADO POR LAS COMPRAS EFECTUADAS SE ACREDITARÁ EN CUENTA EN EL ACTO. NO INCLUYE MOTOS, CUATRICICLOS, BICICLETAS MOTORIZADAS,TRACTORES, ELECTRODOMÉSTICOS, ELECTRÓNICA, TELEFONÍA CELULAR, BODEGAS ALAMOS, ALTALAND, ANGÉLICA ZAPATA, ARUMA, CARO, CASA DE HERRERO, CHANDON, CUCHILLO DE PALO, D. V. CATENA, EL ENEMIGO, LA POSTA, LUCA, LUIGI BOSCA DE SANGRE , NICASIA, OJO DE BUEN CUBERO, RUTINI, SAINT FELICIEN, SAN FELIPE Y VALMONT, LECHES INFANTILES Y MATERNIZADAS ETAPA 1 Y 2 NI CARNICERÍA: CARNE VACUNA, POLLO, CORTES DE CERDOS Y EMBUTIDOS. NO INCLUYE PRODUCTOS CARREFOUR DE ALIMENTOS, LÁCTEOS, QUESOS, FIAMBRES, BEBIDAS, PERFUMERÍA Y LIMPIEZA. NO ACUMULABLE CON OTRAS PROMOCIONES VIGENTES. SOLO PARA CONSUMO FAMILIAR. Tope de devolución $20.000 mensual."
Banco Patagonia,n/a,Miércoles,15%,Supermercados,Carrefour Express,$10.000,"PROMOCIÓN VÁLIDA TODOS LOS DÍAS MIÉRCOLES DE MARZO PARA COMPRAS REALIZADAS CON TARJETAS DE DÉBITO Y EN 1 PAGO CON TARJETAS DE CRÉDITO EMITIDAS POR EL BANCO PATAGONIA EN LAS TIENDAS HIPERMERCADOS CARREFOUR, CARREFOUR MARKET, CARREFOUR EXPRESS Y MAXI CARREFOUR. (1) 15% DE AHORRO PARA COMPRAS REALIZADAS CON TARJETAS DE DÉBITO Y EN 1 PAGO PARA COMPRAS REALIZADAS CON TARJETAS DE CRÉDITO EMITIDAS POR EL BANCO PATAGONIA, CON TOPE DE $10.000 POR MES Y POR CUENTA, (2) 20% DE AHORRO CON TARJETAS DE DÉBITO Y 20% DE AHORRO CON TOPE DE $12.000 POR MES Y POR CUENTA EN UN PAGO CON TARJETAS DE CRÉDITO DEL BANCO PATAGONIA CREDITO VISA Y AMERICAN EXPRESS EXCLUSIVO PARA CLIENTES CON PLAN SUELDO. (3) 30% DE AHORRO CON TARJETAS DE DÉBITO Y 30% DE AHORRO CON TOPE DE $15.000 POR MES Y POR CUENTA EN UN PAGO CON TARJETAS DE CRÉDITO DEL BANCO PATAGONIA CREDITO VISA, MASTERCARD Y AMERICAN EXPRESS. EXCLUSIVO PARA CLIENTES SINGULAR CARTERA PREMIUM. 1, 2 Y 3 EL IMPORTE BONIFICADO POR LAS COMPRAS EFECTUADAS CON TARJETAS DE CRÉDITO SERÁ ACREDITADO EN EL MISMO RESUMEN EN QUE INGRESE EL CONSUMO O EN EL INMEDIATO POSTERIOR. PARA COMPRAS CON TARJETAS DE DÉBITO, LAS BONIFICACIONES SE ACREDITARÁN EN LA CUENTA DE DÉBITO DENTRO DE LOS 10 DÍAS HÁBILES DE REALIZADA LA OPERACIÓN. QUEDAN EXCLUIDOS DE LOS DESCUENTOS ELECTRODOMÉSTICOS, TELEFONÍA, FOTOGRAFÍA, INFORMÁTICA, IMAGEN Y SONIDO, MOTOS, CUATRICICLOS, BICICLETAS MOTORIZADAS, TRACTORES, LA PROMOCIÓN NO INCLUYE LAS SIGUIENTES BODEGAS Y MARCAS: ALTALAND, ARAUCANA, ARUMA, CARO, CASA DE HERRERO, CHANDON, CUCHILLO DE PALO, EL ENEMIGO, LAPOSTA, LAS PERDICES, LUCA, MALBEC ARGENTINO, NICOLÁS CATENA, OJO DE BUEN CUBERO, RUTINI, SAN FELIPE Y VALMONT, LECHES INFANTILES Y MATERNIZADAS ETAPA 1 Y 2, CARNICERÍA NI CONSERVADORAS DE CERVEZA: CARNE VACUNA, POLLO, CORTES DE CERDOS Y EMBUTIDOS. NO INCLUYE PRODUCTOS CARREFOUR DE ALIMENTOS, LÁCTEOS, QUESOS, FIAMBRES, BEBIDAS, PERFUMERÍA Y LIMPIEZA. NO ACUMULABLE CON OTRAS PROMOCIONES VIGENTES"
Banco Patagonia,n/a,Miércoles,20%,Supermercados,Carrefour Express,$8.000,"PROMOCIÓN VÁLIDA TODOS LOS DÍAS MIÉRCOLES DE MARZO PARA COMPRAS REALIZADAS CON TARJETAS DE DÉBITO Y EN 1 PAGO CON TARJETAS DE CRÉDITO EMITIDAS POR EL BANCO PATAGONIA EN LAS TIENDAS HIPERMERCADOS CARREFOUR, CARREFOUR MARKET, CARREFOUR EXPRESS Y MAXI CARREFOUR. (1) 15% DE AHORRO PARA COMPRAS REALIZADAS CON TARJETAS DE DÉBITO Y EN 1 PAGO PARA COMPRAS REALIZADAS CON TARJETAS DE CRÉDITO EMITIDAS POR EL BANCO PATAGONIA, CON TOPE DE $10.000 POR MES Y POR CUENTA, (2) 20% DE AHORRO CON TARJETAS DE DÉBITO Y 20% DE AHORRO CON TOPE DE $12.000 POR MES Y POR CUENTA EN UN PAGO CON TARJETAS DE CRÉDITO DEL BANCO PATAGONIA CREDITO VISA Y AMERICAN EXPRESS EXCLUSIVO PARA CLIENTES CON PLAN SUELDO. (3) 30% DE AHORRO CON TARJETAS DE DÉBITO Y 30% DE AHORRO CON TOPE DE $15.000 POR MES Y POR CUENTA EN UN PAGO CON TARJETAS DE CRÉDITO DEL BANCO PATAGONIA CREDITO VISA, MASTERCARD Y AMERICAN EXPRESS. EXCLUSIVO PARA CLIENTES SINGULAR CARTERA PREMIUM. 1, 2 Y 3 EL IMPORTE BONIFICADO POR LAS COMPRAS EFECTUADAS CON TARJETAS DE CRÉDITO SERÁ ACREDITADO EN EL MISMO RESUMEN EN QUE INGRESE EL CONSUMO O EN EL INMEDIATO POSTERIOR. PARA COMPRAS CON TARJETAS DE DÉBITO, LAS BONIFICACIONES SE ACREDITARÁN EN LA CUENTA DE DÉBITO DENTRO DE LOS 10 DÍAS HÁBILES DE REALIZADA LA OPERACIÓN. QUEDAN EXCLUIDOS DE LOS DESCUENTOS ELECTRODOMÉSTICOS, TELEFONÍA, FOTOGRAFÍA, INFORMÁTICA, IMAGEN Y SONIDO, MOTOS, CUATRICICLOS, BICICLETAS MOTORIZADAS, TRACTORES, LA PROMOCIÓN NO INCLUYE LAS SIGUIENTES BODEGAS Y MARCAS: ALTALAND, ARAUCANA, ARUMA, CARO, CASA DE HERRERO, CHANDON, CUCHILLO DE PALO, EL ENEMIGO, LAPOSTA, LAS PERDICES, LUCA, MALBEC ARGENTINO, NICOLÁS CATENA, OJO DE BUEN CUBERO, RUTINI, SAN FELIPE Y VALMONT, LECHES INFANTILES Y MATERNIZADAS ETAPA 1 Y 2, CARNICERÍA NI CONSERVADORAS DE CERVEZA: CARNE VACUNA, POLLO, CORTES DE CERDOS Y EMBUTIDOS. NO INCLUYE PRODUCTOS CARREFOUR DE ALIMENTOS, LÁCTEOS, QUESOS, FIAMBRES, BEBIDAS, PERFUMERÍA Y LIMPIEZA. NO ACUMULABLE CON OTRAS PROMOCIONES VIGENTES"
Banco Patagonia,n/a,Miércoles,30%,Supermercados,Carrefour Express,$12.000,"PROMOCIÓN VÁLIDA TODOS LOS DÍAS MIÉRCOLES DE MARZO PARA COMPRAS REALIZADAS CON TARJETAS DE DÉBITO Y EN 1 PAGO CON TARJETAS DE CRÉDITO EMITIDAS POR EL BANCO PATAGONIA EN LAS TIENDAS HIPERMERCADOS CARREFOUR, CARREFOUR MARKET, CARREFOUR EXPRESS Y MAXI CARREFOUR. (1) 15% DE AHORRO PARA COMPRAS REALIZADAS CON TARJETAS DE DÉBITO Y EN 1 PAGO PARA COMPRAS REALIZADAS CON TARJETAS DE CRÉDITO EMITIDAS POR EL BANCO PATAGONIA, CON TOPE DE $10.000 POR MES Y POR CUENTA, (2) 20% DE AHORRO CON TARJETAS DE DÉBITO Y 20% DE AHORRO CON TOPE DE $12.000 POR MES Y POR CUENTA EN UN PAGO CON TARJETAS DE CRÉDITO DEL BANCO PATAGONIA CREDITO VISA Y AMERICAN EXPRESS EXCLUSIVO PARA CLIENTES CON PLAN SUELDO. (3) 30% DE AHORRO CON TARJETAS DE DÉBITO Y 30% DE AHORRO CON TOPE DE $15.000 POR MES Y POR CUENTA EN UN PAGO CON TARJETAS DE CRÉDITO DEL BANCO PATAGONIA CREDITO VISA, MASTERCARD Y AMERICAN EXPRESS. EXCLUSIVO PARA CLIENTES SINGULAR CARTERA PREMIUM. 1, 2 Y 3 EL IMPORTE BONIFICADO POR LAS COMPRAS EFECTUADAS CON TARJETAS DE CRÉDITO SERÁ ACREDITADO EN EL MISMO RESUMEN EN QUE INGRESE EL CONSUMO O EN EL INMEDIATO POSTERIOR. PARA COMPRAS CON TARJETAS DE DÉBITO, LAS BONIFICACIONES SE ACREDITARÁN EN LA CUENTA DE DÉBITO DENTRO DE LOS 10 DÍAS HÁBILES DE REALIZADA LA OPERACIÓN. QUEDAN EXCLUIDOS DE LOS DESCUENTOS ELECTRODOMÉSTICOS, TELEFONÍA, FOTOGRAFÍA, INFORMÁTICA, IMAGEN Y SONIDO, MOTOS, CUATRICICLOS, BICICLETAS MOTORIZADAS, TRACTORES, LA PROMOCIÓN NO INCLUYE LAS SIGUIENTES BODEGAS Y MARCAS: ALTALAND, ARAUCANA, ARUMA, CARO, CASA DE HERRERO, CHANDON, CUCHILLO DE PALO, EL ENEMIGO, LAPOSTA, LAS PERDICES, LUCA, MALBEC ARGENTINO, NICOLÁS CATENA, OJO DE BUEN CUBERO, RUTINI, SAN FELIPE Y VALMONT, LECHES INFANTILES Y MATERNIZADAS ETAPA 1 Y 2, CARNICERÍA NI CONSERVADORAS DE CERVEZA: CARNE VACUNA, POLLO, CORTES DE CERDOS Y EMBUTIDOS. NO INCLUYE PRODUCTOS CARREFOUR DE ALIMENTOS, LÁCTEOS, QUESOS, FIAMBRES, BEBIDAS, PERFUMERÍA Y LIMPIEZA. NO ACUMULABLE CON OTRAS PROMOCIONES VIGENTES"
Banco Patagonia,n/a,Miércoles,15%,Supermercados,Carrefour Market,$10.000,"PROMOCIÓN VÁLIDA TODOS LOS DÍAS MIÉRCOLES DE MARZO PARA COMPRAS REALIZADAS CON TARJETAS DE DÉBITO Y EN 1 PAGO CON TARJETAS DE CRÉDITO EMITIDAS POR EL BANCO PATAGONIA EN LAS TIENDAS HIPERMERCADOS CARREFOUR, CARREFOUR MARKET, CARREFOUR EXPRESS Y MAXI CARREFOUR. (1) 15% DE AHORRO PARA COMPRAS REALIZADAS CON TARJETAS DE DÉBITO Y EN 1 PAGO PARA COMPRAS REALIZADAS CON TARJETAS DE CRÉDITO EMITIDAS POR EL BANCO PATAGONIA, CON TOPE DE $10.000 POR MES Y POR CUENTA, (2) 20% DE AHORRO CON TARJETAS DE DÉBITO Y 20% DE AHORRO CON TOPE DE $12.000 POR MES Y POR CUENTA EN UN PAGO CON TARJETAS DE CRÉDITO DEL BANCO PATAGONIA CREDITO VISA Y AMERICAN EXPRESS EXCLUSIVO PARA CLIENTES CON PLAN SUELDO. (3) 30% DE AHORRO CON TARJETAS DE DÉBITO Y 30% DE AHORRO CON TOPE DE $15.000 POR MES Y POR CUENTA EN UN PAGO CON TARJETAS DE CRÉDITO DEL BANCO PATAGONIA CREDITO VISA, MASTERCARD Y AMERICAN EXPRESS. EXCLUSIVO PARA CLIENTES SINGULAR CARTERA PREMIUM. 1, 2 Y 3 EL IMPORTE BONIFICADO POR LAS COMPRAS EFECTUADAS CON TARJETAS DE CRÉDITO SERÁ ACREDITADO EN EL MISMO RESUMEN EN QUE INGRESE EL CONSUMO O EN EL INMEDIATO POSTERIOR. PARA COMPRAS CON TARJETAS DE DÉBITO, LAS BONIFICACIONES SE ACREDITARÁN EN LA CUENTA DE DÉBITO DENTRO DE LOS 10 DÍAS HÁBILES DE REALIZADA LA OPERACIÓN. QUEDAN EXCLUIDOS DE LOS DESCUENTOS ELECTRODOMÉSTICOS, TELEFONÍA, FOTOGRAFÍA, INFORMÁTICA, IMAGEN Y SONIDO, MOTOS, CUATRICICLOS, BICICLETAS MOTORIZADAS, TRACTORES, LA PROMOCIÓN NO INCLUYE LAS SIGUIENTES BODEGAS Y MARCAS: ALTALAND, ARAUCANA, ARUMA, CARO, CASA DE HERRERO, CHANDON, CUCHILLO DE PALO, EL ENEMIGO, LAPOSTA, LAS PERDICES, LUCA, MALBEC ARGENTINO, NICOLÁS CATENA, OJO DE BUEN CUBERO, RUTINI, SAN FELIPE Y VALMONT, LECHES INFANTILES Y MATERNIZADAS ETAPA 1 Y 2, CARNICERÍA NI CONSERVADORAS DE CERVEZA: CARNE VACUNA, POLLO, CORTES DE CERDOS Y EMBUTIDOS. NO INCLUYE PRODUCTOS CARREFOUR DE ALIMENTOS, LÁCTEOS, QUESOS, FIAMBRES, BEBIDAS, PERFUMERÍA Y LIMPIEZA. NO ACUMULABLE CON OTRAS PROMOCIONES VIGENTES"
